Grade_FAQ,Grade_Large,Grade_Local,Grade_Medium,Grade_Non-FAQ,Grade_Small,State,District,Commodity,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Chittor,Gur(Jaggery),NO 2,3400,3500,3500.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Chittor,Tomato,Local,900,1100,1000.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Chittor,Potato,(Red Nanital),1500,2000,1800.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Chittor,Tomato,Hybrid,900,1070,1000.0
0.0,0.0,0.0,1.0,0.0,0.0,Andhra Pradesh,East Godavari,Water Melon,Other,2500,3000,2700.0
0.0,0.0,0.0,0.0,1.0,0.0,Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),7400,7500,7450.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Krishna,Rice,Fine,4500,4700,4600.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Kurnool,Groundnut,Balli/Habbu,3266,6366,6161.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Kurnool,Groundnut,TMV-2,4619,6610,5690.0
0.0,0.0,0.0,0.0,1.0,0.0,Andhra Pradesh,Kurnool,Groundnut,TMV-2,2200,4519,4315.0
1.0,0.0,0.0,0.0,0.0,0.0,Andhra Pradesh,Visakhapatnam,Gur(Jaggery),NO 3,2860,3120,2990.0
1.0,0.0,0.0,0.0,0.0,0.0,Bihar,Banka,Onion,Medium,2600,3000,2800.0
1.0,0.0,0.0,0.0,0.0,0.0,Bihar,Bhojpur,Potato,Jyoti,1000,1200,1100.0
1.0,0.0,0.0,0.0,0.0,0.0,Bihar,Madhubani,Onion,Medium,2800,3000,2900.0
1.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,Chandigarh,Cucumbar(Kheera),Other,800,1600,1200.0
0.0,0.0,0.0,1.0,0.0,0.0,Chandigarh,Chandigarh,Grapes,Other,3000,8000,6000.0
1.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,Chandigarh,Green Chilli,Other,2000,3000,2500.0
1.0,0.0,0.0,0.0,0.0,0.0,Chandigarh,Chandigarh,Pumpkin,Other,500,800,700.0
0.0,0.0,0.0,1.0,0.0,0.0,Goa,North Goa,Grapes,Green,5000,5000,5000.0
0.0,0.0,0.0,1.0,0.0,0.0,Goa,North Goa,Mousambi(Sweet Lime),Mousambi,4000,4000,4000.0
1.0,0.0,0.0,0.0,0.0,0.0,Goa,North Goa,Potato,Potato,2000,2000,2000.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Amreli,Brinjal,Other,850,1550,1200.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Amreli,Coriander(Leaves),Coriander,3250,4050,3800.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Amreli,Ginger(Green),Green Ginger,4350,5050,4700.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Amreli,Guar,Gwar,3200,4050,3750.0
0.0,0.0,0.0,0.0,1.0,0.0,Gujarat,Amreli,Tomato,Local,550,1250,800.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Anand,Cabbage,Cabbage,200,300,250.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Anand,Cauliflower,Cauliflower,400,500,450.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Anand,Bhindi(Ladies Finger),Other,3500,4500,4000.0
1.0,0.0,0.0,0.0,0.0,0.0,Gujarat,Anand,Bottle gourd,Bottle Gourd,500,1200,1000.0
