State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Hindupur,"Tamarind Fruit","Non A/c Fine",FAQ,28/03/2025,8000,20800,9000
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,28/03/2025,3400,3500,3500
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,28/03/2025,900,1100,1000
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,28/03/2025,1500,2000,1800
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,28/03/2025,900,1070,1000
"Andhra Pradesh","East Godavari",Rajahmundry,"Water Melon",Other,Medium,28/03/2025,2500,3000,2700
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,28/03/2025,10200,10600,10300
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,28/03/2025,9000,13000,11900
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,28/03/2025,7400,7500,7450
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,28/03/2025,4500,4700,4600
"Andhra Pradesh",Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,28/03/2025,3266,6366,6161
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,28/03/2025,4619,6610,5690
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,28/03/2025,2200,4519,4315
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 3",FAQ,28/03/2025,2860,3120,2990
Bihar,Banka,Barahat,Onion,Medium,FAQ,28/03/2025,2600,3000,2800
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,28/03/2025,1000,1200,1100
Bihar,Madhubani,Jahajharpur,Onion,Medium,FAQ,28/03/2025,2800,3000,2900
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,28/03/2025,800,1600,1200
